AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,AccX31,AccY31,AccZ31,GyrX31,GyrY31,GyrZ31,AccX32,AccY32,AccZ32,GyrX32,GyrY32,GyrZ32,AccX33,AccY33,AccZ33,GyrX33,GyrY33,GyrZ33,AccX34,AccY34,AccZ34,GyrX34,GyrY34,GyrZ34,AccX35,AccY35,AccZ35,GyrX35,GyrY35,GyrZ35,AccX36,AccY36,AccZ36,GyrX36,GyrY36,GyrZ36,AccX37,AccY37,AccZ37,GyrX37,GyrY37,GyrZ37,AccX38,AccY38,AccZ38,GyrX38,GyrY38,GyrZ38,AccX39,AccY39,AccZ39,GyrX39,GyrY39,GyrZ39,AccX40,AccY40,AccZ40,GyrX40,GyrY40,GyrZ40,Label
37,37,34,57,53,40,37,37,35,48,56,43,37,37,36,47,58,43,37,37,36,46,58,45,37,36,37,46,54,44,37,36,37,42,50,45,37,36,38,41,43,41,37,36,38,40,34,42,37,36,38,38,24,39,37,37,37,33,20,38,36,37,37,37,20,36,36,37,36,37,23,36,36,37,36,36,28,38,36,37,35,38,37,41,36,37,36,43,43,38,36,37,36,40,48,43,36,37,36,42,49,43,36,37,36,43,51,43,36,37,37,43,49,44,36,37,37,42,47,43,37,37,37,43,45,43,37,37,37,43,43,42,37,37,37,43,42,41,37,37,37,42,42,41,37,37,37,41,42,41,37,37,37,42,41,41,37,37,37,41,42,41,37,37,37,41,41,41,37,37,37,41,41,42,37,37,37,41,41,41,37,37,37,41,41,41,37,37,37,41,41,41,37,37,37,41,41,41,37,37,37,41,41,41,37,37,37,41,42,41,37,37,37,41,41,41,37,37,37,41,41,42,37,37,37,41,41,41,37,37,37,41,41,41,37,37,37,41,41,42,left
37,34,34,58,100,46,36,34,35,48,65,45,36,34,36,45,53,42,36,35,36,41,45,41,36,35,36,42,39,40,35,35,36,33,22,40,35,35,35,35,21,36,35,35,35,35,23,37,35,35,34,36,26,35,34,35,34,35,32,40,35,35,34,38,38,37,35,35,34,40,42,39,35,35,34,39,45,41,35,35,35,41,47,41,35,35,35,41,47,43,35,35,35,43,46,40,35,35,35,40,44,41,35,35,35,41,42,40,35,35,35,41,41,39,35,35,35,40,40,39,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,39,40,35,35,35,40,40,39,35,35,35,40,39,40,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,39,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,39,39,39,35,35,35,39,40,40,left
35,35,33,51,57,39,35,35,34,48,55,39,35,35,34,45,54,40,35,35,35,43,53,41,35,35,35,43,50,40,35,35,36,40,45,40,35,35,36,38,39,40,35,35,36,38,33,41,35,35,36,35,27,39,35,35,35,35,24,39,35,35,35,36,25,39,35,35,35,36,26,38,35,35,34,36,29,40,35,35,34,39,33,37,35,35,34,39,39,39,35,35,34,38,41,40,35,35,35,40,43,39,35,35,35,39,45,39,35,35,35,40,45,41,35,35,35,40,45,40,35,35,35,42,44,40,35,35,35,41,43,41,35,35,35,42,42,39,35,35,35,40,42,41,35,35,35,41,40,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,39,39,left
36,35,33,52,72,39,35,35,34,53,71,40,36,35,35,48,61,43,36,35,35,46,54,43,36,35,35,43,48,42,36,34,36,39,37,40,35,34,36,33,25,41,35,35,36,32,21,37,35,35,35,31,20,37,35,35,35,34,22,34,34,35,34,34,27,35,34,35,34,37,33,36,35,35,34,38,39,39,35,35,34,41,43,39,35,35,34,39,46,42,35,35,35,41,47,42,35,35,35,41,48,42,35,35,35,43,46,42,35,35,35,41,44,41,35,35,35,41,42,40,35,35,35,41,41,40,35,35,35,40,40,39,35,35,35,40,40,39,35,35,35,40,40,39,35,35,35,40,40,39,35,35,35,39,40,39,35,35,35,40,40,40,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,39,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,left
35,35,32,50,55,37,35,35,34,48,56,39,35,35,34,46,55,40,35,35,35,44,53,41,35,35,35,44,51,40,35,34,36,41,47,41,36,34,36,38,40,41,36,35,36,39,33,41,35,35,36,35,25,40,35,35,35,31,20,38,35,35,35,34,20,36,35,35,35,35,24,37,34,35,34,35,28,37,34,35,34,37,35,37,35,35,34,41,42,37,35,35,35,39,44,43,35,35,35,39,45,40,35,35,35,39,47,41,35,35,35,41,47,42,35,35,35,43,46,41,35,35,35,42,44,41,35,35,35,43,42,39,35,35,35,41,42,40,35,35,35,41,40,40,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,39,39,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,39,40,35,35,35,39,40,40,35,35,35,39,39,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,left
37,34,35,58,94,52,36,34,36,49,65,48,36,34,36,40,52,43,35,34,36,39,44,40,35,35,36,41,39,40,35,35,36,34,24,39,35,35,35,34,22,36,35,35,35,39,25,37,35,35,35,38,28,35,35,35,34,37,32,41,35,35,34,38,38,40,35,35,34,40,41,38,35,35,34,38,43,42,35,35,35,41,44,38,35,35,35,40,46,43,35,35,35,43,45,39,35,35,35,40,45,40,35,35,35,41,43,39,35,35,35,40,42,39,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,40,40,39,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,39,40,35,35,35,39,40,40,35,35,35,40,40,40,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,40,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,39,39,39,35,35,35,39,40,40,35,35,35,40,40,39,left
37,34,35,59,91,44,36,34,35,47,63,43,36,34,35,42,52,41,36,35,35,42,46,40,36,35,36,41,41,41,35,35,35,35,27,40,35,35,35,34,24,38,35,35,35,36,25,36,35,35,35,34,26,39,35,35,34,36,30,38,35,35,34,37,35,39,35,35,34,40,38,39,35,35,35,40,41,40,35,35,35,41,42,40,35,35,35,39,44,41,35,35,35,41,44,40,35,35,35,41,46,39,35,35,35,42,45,40,35,35,35,41,45,40,35,35,35,42,43,40,35,35,35,41,42,40,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,39,39,39,35,35,35,39,39,39,35,35,35,40,40,39,35,35,35,40,39,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,39,40,39,35,35,35,40,40,40,35,35,35,39,40,40,35,35,35,39,40,40,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,40,35,35,35,40,40,40,35,35,35,40,40,39,left
37,34,35,54,95,46,36,34,36,46,63,45,36,34,36,42,53,43,36,35,36,41,45,41,35,35,36,40,42,40,35,35,36,37,27,40,35,35,35,34,25,38,35,35,35,37,25,36,35,35,35,36,28,37,35,35,34,36,30,38,35,35,34,37,35,39,35,35,34,41,38,37,35,35,35,38,41,41,35,35,35,41,42,39,35,35,35,39,44,40,35,35,35,42,43,39,35,35,35,39,45,41,35,35,35,41,43,40,35,35,35,40,43,40,35,35,35,42,42,40,35,35,35,39,42,42,35,35,35,41,40,39,35,35,35,40,41,40,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,40,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,39,40,left
35,36,33,54,59,40,35,35,34,45,57,43,35,35,34,44,56,41,35,35,35,44,54,42,35,35,35,44,50,41,35,35,36,40,44,42,35,35,36,40,38,38,35,35,36,39,30,39,35,35,36,33,23,39,35,35,35,34,21,34,35,35,35,36,23,37,35,35,34,34,26,36,35,35,34,35,30,38,35,35,34,39,38,37,35,35,34,39,43,40,35,35,34,39,43,42,35,35,34,40,45,39,35,35,35,41,46,43,35,35,35,42,46,41,35,35,35,42,44,40,35,35,35,41,44,41,35,35,35,42,43,40,35,35,35,41,41,40,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,40,39,40,35,35,35,40,40,39,35,35,35,39,39,40,35,35,35,39,39,39,35,35,35,40,39,40,35,35,35,39,40,40,35,35,35,40,39,40,35,35,35,40,39,39,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,40,40,40,left
35,35,33,50,52,38,35,35,34,48,54,40,35,35,34,47,54,41,35,35,35,45,53,42,35,35,35,44,52,41,36,34,36,43,47,42,35,35,36,37,39,42,35,34,36,36,31,39,35,35,36,34,24,38,35,35,35,31,21,37,35,35,35,31,22,37,35,35,34,36,27,34,35,35,34,36,32,38,35,35,34,37,36,38,35,35,34,40,38,37,35,35,34,38,42,41,35,35,34,40,45,41,35,35,35,42,46,42,35,35,35,44,47,39,35,35,35,42,48,43,35,35,35,44,45,40,35,35,35,41,42,41,35,35,35,40,40,39,35,35,35,40,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,39,40,35,35,35,40,40,40,35,35,35,39,40,39,35,35,35,40,39,40,35,35,35,39,40,40,35,35,35,40,40,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,40,40,35,35,35,40,39,39,35,35,35,39,39,40,35,35,35,40,39,40,35,35,35,39,40,40,left
