@relation minmax_training

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {down,left,right,tilt_left,tilt_right,up}

@data
?58,?49,?47,?3,1,?2,?60,?45,?50,?7,3,?3,?53,?43,?44,?3,4,?4,?51,?44,?41,?5,4,?3,?49,?42,?39,?4,4,?4,?45,?41,?36,?5,3,?4,?39,?40,?32,?3,1,?4,?39,?40,?34,?5,?1,?3,?39,?40,?36,?3,?3,?4,?39,?40,?39,?4,?3,?4,?40,?39,?40,?3,?4,?4,?41,?41,?41,?4,?4,?3,?41,?41,?41,?3,?3,?4,?41,?40,?40,?4,?3,?3,?40,?41,?40,?4,?4,?3,?40,?40,?40,?4,?4,?4,?40,?41,?41,?4,?4,?4,?40,?40,?40,?3,?4,?4,?40,?41,?40,?4,?4,?3,?40,?41,?41,?3,?4,?4,down
?37,15,?42,?5,?3,20,?35,?8,?42,6,?2,19,?35,?32,?42,1,?3,17,?35,?36,?43,5,?3,15,?35,?46,?44,2,?4,11,?37,?65,?43,1,?3,1,?38,?68,?42,?5,?3,?7,?39,?63,?42,?5,?3,?16,?39,?58,?40,?12,?4,?22,?40,?44,?38,?11,?4,?25,?40,?35,?38,?10,?5,?24,?41,?29,?40,?12,?5,?19,?41,?21,?39,?7,?5,?15,?46,?25,?41,?7,?4,?8,?48,?23,?42,?4,?3,?3,?46,?27,?40,?2,?2,3,?45,?34,?38,1,?3,5,?45,?39,?39,0,?2,7,?42,?41,?38,2,?3,5,?41,?48,?39,?1,?4,3,left
?40,?46,?39,?6,?2,?2,?40,?44,?40,?4,?3,?3,?39,?43,?40,?4,?3,?4,?40,?41,?40,?4,?4,?3,?40,?41,?40,?4,?3,?3,?40,?40,?40,?3,?4,?4,?40,?40,?41,?4,?4,?3,?40,?40,?41,?3,?4,?4,?40,?41,?41,?3,?4,?4,?40,?41,?41,?4,?4,?4,?39,?29,?40,?4,?3,0,?37,?24,?41,2,?3,6,?35,?33,?41,3,?3,13,?33,?43,?41,2,?4,12,?36,?50,?44,2,?3,8,?38,?67,?44,?1,?4,0,?39,?74,?42,?8,?4,?12,?42,?64,?42,?12,?3,?26,?41,?49,?41,?14,?2,?27,?39,?36,?38,?12,?4,?27,left
?43,?34,?42,?27,?3,0,?43,?3,?41,?10,?3,?2,?44,?20,?39,?4,?7,3,?47,?22,?41,?3,?5,4,?45,?29,?40,?2,?4,5,?46,?29,?40,3,?4,6,?46,?46,?40,3,?4,7,?44,?45,?41,?1,?1,4,?41,?48,?39,?1,?3,2,?42,?45,?40,?2,?2,0,?40,?46,?40,?2,?2,?2,?39,?44,?40,?5,?3,?2,?40,?41,?40,?3,?3,?4,?40,?40,?40,?4,?3,?4,?39,?40,?40,?3,?4,?4,?40,?39,?40,?4,?4,?3,?41,?40,?41,?3,?4,?3,?40,?40,?41,?4,?4,?3,?40,?39,?40,?3,?4,?3,?40,?41,?41,?3,?4,?3,left
?40,17,?45,1,?1,3,?34,?10,?43,8,?1,12,?34,?29,?42,7,?3,17,?35,?38,?42,2,?3,14,?36,?44,?43,3,?3,9,?37,?64,?43,?2,?4,6,?40,?69,?42,?5,?3,?6,?39,?66,?41,?11,?3,?17,?41,?57,?41,?12,?3,?24,?40,?44,?39,?15,?4,?24,?41,?31,?37,?11,?4,?24,?41,?24,?38,?11,?5,?16,?44,?18,?39,?6,?4,?10,?42,?24,?39,?4,?4,?4,?43,?27,?40,0,?4,?2,?41,?34,?40,?1,?4,3,?43,?35,?41,?1,?4,3,?41,?42,?40,?1,?3,2,?41,?38,?40,?1,?3,2,?43,?42,?40,?2,?3,3,left
?40,?46,?40,?5,?2,?1,?39,?46,?40,?5,?3,?2,?40,?43,?40,?4,?3,?3,?39,?43,?40,?4,?3,?3,?40,?42,?40,?4,?3,?3,?40,?41,?40,?3,?4,?4,?40,?40,?41,?3,?3,?4,?40,?41,?40,?4,?4,?3,?40,?40,?41,?3,?4,?4,?40,?40,?41,?4,?3,?3,?38,?52,?43,2,?4,5,?38,?54,?42,?1,?3,1,?38,?55,?41,?3,?3,?1,?41,?56,?42,?4,?3,?7,?39,?51,?41,?7,?3,?7,?42,?37,?38,?11,?3,?18,?39,?33,?38,?10,?4,?16,?40,?26,?40,?6,?4,?14,?39,?28,?40,?6,?4,?7,?39,?28,?41,?3,?4,?7,left
?34,?35,?37,?11,?5,11,?40,?29,?38,?4,?5,8,?42,?35,?39,?3,?5,7,?44,?37,?40,?1,?4,5,?43,?40,?40,?1,?4,4,?44,?42,?40,0,?4,1,?44,?47,?41,?1,?3,0,?42,?45,?41,?1,?3,?2,?40,?45,?40,?3,?3,?3,?40,?42,?40,?3,?3,?4,?40,?42,?40,?4,?3,?3,?39,?40,?40,?4,?3,?4,?40,?40,?40,?4,?4,?3,?40,?40,?41,?3,?3,?4,?40,?41,?40,?4,?4,?3,?40,?40,?41,?3,?4,?4,?40,?40,?41,?3,?3,?4,?40,?41,?40,?3,?3,?4,?40,?41,?40,?4,?4,?4,?41,?39,?41,?3,?3,?4,left
?39,14,?50,6,2,9,?32,?26,?42,9,0,15,?35,?34,?42,5,?2,11,?33,?39,?42,5,?3,12,?36,?44,?43,3,?3,9,?37,?64,?41,?1,?4,5,?40,?64,?41,?5,?4,?6,?39,?65,?40,?8,?5,?12,?43,?59,?40,?13,?4,?21,?40,?47,?38,?15,?4,?23,?41,?33,?38,?11,?4,?23,?41,?28,?39,?11,?5,?18,?43,?20,?40,?7,?4,?12,?42,?24,?40,?4,?5,?6,?43,?28,?41,?3,?4,?2,?41,?32,?40,?3,?4,1,?44,?32,?41,?1,?4,3,?43,?39,?40,?2,?3,4,?43,?37,?40,0,?3,3,?43,?42,?39,1,?3,2,left
?42,?41,?40,?3,?3,?2,?41,?42,?40,?3,?3,?3,?40,?42,?40,?3,?3,?3,?40,?42,?40,?3,?3,?3,?40,?41,?40,?3,?3,?3,?40,?41,?40,?3,?3,?4,?40,?41,?41,?3,?3,?4,?40,?40,?40,?4,?4,?4,?40,?40,?40,?4,?4,?4,?41,?40,?41,?3,?4,?3,?36,?50,?44,6,?3,10,?35,?61,?42,?1,?3,7,?36,?60,?42,?3,?3,?1,?38,?61,?43,?4,?4,?7,?37,?56,?43,?8,?4,?10,?41,?38,?37,?17,?4,?26,?42,?25,?39,?11,?4,?23,?41,?19,?39,?9,?5,?15,?40,?19,?38,?7,?4,?7,?42,?23,?39,?2,?4,?3,left
?34,?37,?36,?2,?5,2,?41,?40,?40,?3,?4,2,?41,?37,?39,?3,?5,2,?42,?37,?40,?1,?4,2,?42,?39,?40,?2,?4,1,?44,?40,?41,?1,?3,1,?43,?41,?41,?1,?3,0,?43,?43,?40,0,?2,?1,?41,?45,?40,?2,?2,?2,?40,?43,?40,?2,?2,?2,?40,?44,?40,?3,?3,?3,?39,?42,?40,?3,?3,?3,?40,?41,?40,?3,?3,?4,?40,?40,?40,?3,?3,?3,?40,?41,?40,?4,?4,?3,?40,?40,?40,?4,?4,?4,?40,?39,?41,?3,?4,?4,?40,?40,?41,?3,?3,?3,?40,?41,?40,?4,?4,?4,?41,?40,?41,?4,?3,?3,left
?42,20,?51,12,4,?3,?37,?10,?32,4,4,12,?31,?26,?46,8,?2,19,?31,?45,?45,14,?2,16,?31,?60,?42,2,?5,12,?35,?74,?41,?3,?5,4,?37,?73,?46,?5,?6,?8,?42,?67,?39,?11,?4,?19,?43,?52,?38,?21,?4,?25,?46,?31,?39,?13,?2,?26,?42,?27,?38,?9,?4,?20,?42,?28,?38,?9,?5,?13,?41,?27,?39,?7,?5,?12,?42,?27,?40,?4,?5,?7,?42,?29,?41,?3,?4,?4,?43,?30,?40,?3,?3,1,?43,?32,?39,?1,?3,3,?44,?35,?39,?1,?3,6,?44,?39,?40,0,?3,6,?43,?45,?40,0,?3,4,left
?40,?45,?41,?4,?3,?3,?39,?41,?41,?4,?3,?3,?39,?42,?40,?4,?3,?3,?39,?41,?40,?4,?3,?4,?40,?41,?41,?4,?3,?3,?40,?40,?40,?4,?3,?4,?40,?41,?40,?4,?4,?4,?41,?40,?41,?3,?4,?4,?40,?40,?40,?4,?3,?3,?40,?41,?40,?3,?4,?4,?37,?30,?41,0,?2,0,?35,?32,?40,0,?4,5,?35,?38,?41,1,?4,8,?36,?38,?43,2,?4,9,?36,?44,?45,2,?3,11,?38,?65,?43,?1,?6,3,?41,?66,?42,?6,?3,?7,?40,?61,?41,?7,?3,?16,?40,?57,?39,?12,?3,?21,?41,?43,?37,?12,?4,?25,left
?40,?29,?38,?6,?8,?2,?42,?32,?40,?5,?6,?5,?41,?29,?39,?4,?5,?4,?43,?32,?40,?3,?5,?3,?44,?33,?41,?3,?4,?2,?43,?33,?41,?2,?3,?2,?43,?32,?40,?2,?3,1,?43,?38,?40,?2,?3,2,?42,?36,?40,?2,?3,2,?41,?38,?39,?1,?3,2,?42,?42,?40,?1,?3,1,?42,?44,?40,?1,?3,0,?42,?42,?40,?2,?3,?2,?41,?44,?40,?2,?3,?2,?41,?43,?40,?3,?3,?3,?40,?43,?40,?4,?3,?3,?40,?41,?41,?3,?3,?4,?40,?41,?41,?4,?3,?4,?40,?40,?40,?4,?3,?4,?40,?40,?40,?4,?4,?4,left
?38,16,?43,11,?1,3,?37,?5,?44,6,?1,16,?32,?19,?44,8,?3,19,?32,?41,?45,8,?4,19,?35,?64,?44,2,?6,9,?37,?70,?43,?4,?4,0,?37,?75,?41,?7,?4,?12,?43,?67,?41,?14,?3,?21,?45,?46,?37,?16,?2,?28,?43,?21,?37,?13,?2,?22,?43,?24,?38,?9,?4,?15,?43,?20,?38,?7,?5,?7,?42,?26,?38,?2,?5,?4,?42,?33,?40,?3,?6,?2,?43,?36,?42,?1,?4,?2,?41,?37,?41,?3,?4,?1,?42,?37,?41,?2,?3,?1,?42,?38,?40,?3,?3,0,?43,?38,?40,?2,?3,0,?42,?40,?39,?2,?3,1,left
?42,?42,?41,0,?3,?4,?39,?45,?41,?4,?4,?3,?40,?43,?41,?3,?4,?3,?40,?43,?41,?4,?4,?3,?40,?42,?41,?3,?3,?4,?39,?42,?40,?4,?4,?3,?40,?40,?40,?3,?4,?4,?41,?40,?41,?4,?3,?4,?40,?40,?40,?3,?3,?4,?40,?40,?40,?4,?4,?3,?40,?29,?42,?1,?2,?3,?37,?27,?42,3,?2,3,?33,?35,?40,2,?4,11,?35,?44,?42,3,?6,10,?35,?52,?43,1,?4,8,?35,?72,?42,?2,?6,4,?39,?76,?42,?9,?5,?10,?44,?63,?44,?12,?2,?22,?42,?45,?40,?14,?1,?25,?43,?30,?38,?11,?2,?22,left
?42,?45,?40,?4,?7,?1,?44,?36,?41,?4,?6,?2,?41,?35,?39,?1,?6,?2,?43,?38,?40,?2,?5,0,?43,?38,?41,?2,?5,?1,?43,?38,?41,?2,?4,0,?41,?37,?40,?2,?3,0,?42,?39,?41,?3,?3,2,?41,?39,?40,?1,?3,0,?41,?42,?40,?2,?3,1,?41,?41,?40,?2,?3,0,?42,?44,?40,?2,?3,?1,?41,?43,?40,?2,?3,?3,?40,?43,?40,?3,?3,?3,?40,?41,?40,?3,?3,?4,?39,?40,?40,?4,?4,?4,?40,?40,?40,?3,?4,?4,?41,?40,?41,?4,?4,?4,?41,?40,?40,?4,?4,?4,?40,?40,?40,?3,?4,?4,left
?22,64,?33,24,?3,20,?30,?9,?39,12,?2,37,?32,?39,?43,5,?6,25,?35,?50,?48,5,?5,14,?34,?61,?46,1,?3,5,?39,?80,?46,?10,?3,?8,?39,?67,?43,?12,?2,?23,?41,?48,?39,?12,?2,?27,?42,?35,?34,?14,?3,?23,?45,?22,?34,?11,?4,?19,?44,?22,?36,?5,?5,?9,?45,?24,?38,?2,?6,?5,?44,?33,?40,?2,?4,?1,?43,?35,?40,?2,?4,0,?43,?37,?41,?2,?4,1,?42,?38,?40,?2,?3,1,?42,?41,?40,?3,?4,0,?43,?40,?40,?1,?3,0,?42,?42,?40,?2,?3,?1,?41,?41,?40,?2,?3,?1,left
?39,?45,?40,?5,?3,?4,?39,?41,?40,?4,?3,?4,?39,?41,?40,?4,?4,?3,?40,?41,?40,?3,?3,?4,?40,?41,?40,?4,?4,?3,?40,?40,?40,?3,?3,?4,?40,?41,?40,?4,?4,?3,?41,?40,?40,?3,?3,?4,?40,?41,?40,?4,?4,?3,?41,?41,?41,?3,?3,?4,?40,?30,?39,?4,?3,?4,?39,?24,?40,3,?3,2,?34,?27,?41,2,?3,13,?34,?41,?44,4,?3,16,?34,?53,?45,2,?4,9,?34,?70,?48,?1,?4,3,?35,?74,?46,?9,?3,?11,?40,?68,?43,?13,?4,?24,?41,?48,?38,?14,?4,?30,?43,?32,?36,?14,?4,?24,left
?44,?32,?35,5,?1,?4,?42,?30,?35,1,?3,?6,?44,?28,?38,1,?3,?4,?44,?33,?39,0,?3,?3,?44,?34,?40,0,?3,?4,?44,?33,?41,?1,?3,?1,?43,?36,?41,?2,?3,3,?43,?41,?41,?3,?3,5,?43,?40,?40,?1,?3,4,?42,?42,?40,?3,?3,5,?41,?46,?40,?3,?4,3,?41,?45,?40,?3,?3,?1,?40,?43,?41,?2,?3,?3,?40,?43,?40,?4,?3,?3,?40,?42,?40,?3,?3,?4,?40,?40,?40,?4,?4,?4,?40,?40,?40,?3,?4,?4,?41,?40,?40,?4,?4,?4,?40,?40,?40,?3,?4,?4,?40,?40,?40,?3,?4,?3,left
?38,100,?51,23,?1,7,?24,?9,?42,7,3,47,?24,?41,?44,12,?5,30,?29,?59,?45,5,?5,15,?33,?59,?44,?2,?5,4,?34,?85,?41,?6,?3,?5,?41,?70,?43,?9,?6,?27,?47,?50,?41,?16,?2,?32,?45,?32,?38,?13,?2,?29,?44,?26,?38,?9,?3,?21,?46,?23,?39,?8,?5,?16,?45,?20,?38,?5,?3,?8,?44,?28,?39,?3,?4,?2,?44,?34,?39,?5,?4,2,?45,?32,?40,?1,?3,2,?43,?36,?39,?5,?3,7,?44,?38,?40,1,?3,4,?41,?42,?39,?2,?4,3,?43,?40,?41,1,?3,1,?40,?44,?39,?2,?3,1,left
?43,?38,?43,0,?3,?7,?41,?41,?42,?3,?3,?3,?40,?40,?40,?2,?3,?4,?41,?40,?41,?3,?4,?3,?41,?40,?41,?3,?3,?4,?40,?41,?40,?4,?4,?3,?40,?40,?40,?3,?4,?4,?41,?41,?41,?4,?3,?3,?40,?40,?40,?3,?3,?4,?40,?41,?41,?4,?4,?3,?41,?29,?40,?2,?3,?4,?37,?22,?40,0,?4,4,?34,?23,?42,2,?2,18,?30,?41,?44,6,?4,20,?29,?57,?44,4,?6,14,?32,?69,?47,?2,?4,5,?34,?77,?44,?6,?2,?10,?38,?73,?41,?11,?5,?29,?46,?50,?38,?16,?2,?34,?48,?30,?37,?13,?1,?29,left
?47,?25,?42,?3,?5,?5,?43,?34,?38,?3,?3,?5,?42,?33,?39,?4,?5,?4,?43,?35,?40,?4,?5,?4,?44,?33,?41,?3,?4,?3,?44,?35,?40,?2,?3,?2,?45,?35,?41,?4,?4,2,?45,?36,?40,?1,?3,2,?44,?38,?40,?2,?2,4,?43,?39,?39,?1,?2,3,?41,?43,?40,?3,?3,4,?40,?42,?40,0,?3,?1,?40,?44,?40,?4,?4,0,?40,?42,?41,?1,?3,?3,?39,?44,?40,?4,?4,?2,?40,?40,?41,?3,?4,?4,?40,?41,?41,?4,?4,?3,?40,?40,?41,?3,?3,?4,?40,?40,?40,?4,?4,?3,?41,?40,?41,?3,?3,?4,left
?26,70,?35,14,1,16,?25,9,?41,8,?1,37,?21,?38,?45,12,?7,35,?29,?66,?45,3,?9,15,?33,?60,?45,0,?3,4,?36,?78,?44,?8,?4,?6,?42,?69,?43,?9,?3,?22,?47,?50,?37,?14,0,?32,?46,?26,?37,?13,0,?23,?46,?26,?36,?8,?4,?17,?44,?29,?39,?5,?5,?11,?42,?36,?39,?5,?5,?9,?42,?35,?41,?5,?5,?7,?42,?35,?41,?3,?4,?7,?42,?35,?41,?4,?3,?5,?43,?32,?40,?3,?2,?5,?41,?35,?39,?4,?4,?1,?44,?34,?41,?3,?4,3,?42,?39,?40,0,?3,2,?41,?38,?39,?3,?4,3,left
?26,14,?41,?17,?4,?29,?37,?4,?42,?7,?4,?7,?41,?22,?43,?2,?3,?2,?40,?33,?41,?2,?3,0,?39,?34,?40,?4,?3,1,?40,?45,?40,1,?3,7,?38,?51,?39,?1,?3,5,?37,?49,?39,?2,?4,3,?37,?47,?40,?3,?4,2,?38,?49,?41,?1,?4,?1,?41,?56,?41,?5,?4,?4,?43,?51,?42,?5,?4,?8,?42,?48,?41,?6,?4,?10,?42,?42,?41,?6,?3,?11,?42,?38,?40,?6,?3,?12,?42,?31,?40,?4,?3,?9,?41,?33,?40,?4,?3,?7,?41,?33,?40,?4,?4,?5,?42,?37,?41,?3,?4,?3,?41,?39,?40,?3,?3,?3,right
?43,?40,?40,?4,?4,?3,?41,?41,?40,?3,?4,?3,?40,?41,?40,?4,?4,?3,?41,?41,?40,?3,?4,?3,?41,?41,?40,?4,?3,?3,?40,?41,?40,?3,?4,?3,?40,?41,?41,?4,?4,?4,?40,?40,?41,?4,?4,?4,?40,?41,?40,?4,?3,?4,?41,?41,?41,?4,?4,?4,?42,?30,?42,?5,?4,?7,?42,?32,?41,?3,?4,?5,?43,?33,?41,?4,?4,?3,?42,?34,?41,?3,?4,?2,?41,?35,?41,?3,?3,?1,?41,?47,?40,?2,?3,4,?39,?45,?39,?3,?2,3,?39,?47,?40,?3,?3,1,?38,?46,?40,?3,?3,0,?38,?47,?40,?3,?4,?2,right
?43,?33,?43,?6,?3,0,?41,?47,?42,?5,?5,?6,?42,?44,?41,?3,?4,?7,?41,?41,?41,?5,?4,?7,?41,?41,?41,?4,?4,?7,?41,?42,?40,?4,?4,?8,?41,?38,?40,?4,?3,?7,?40,?38,?40,?5,?4,?6,?41,?39,?40,?3,?4,?6,?42,?38,?41,?4,?4,?5,?41,?38,?41,?4,?4,?4,?40,?38,?41,?3,?3,?4,?41,?40,?41,?4,?4,?3,?41,?40,?40,?3,?3,?3,?40,?40,?40,?3,?4,?3,?40,?41,?40,?4,?4,?3,?40,?41,?40,?3,?4,?4,?40,?40,?41,?3,?3,?3,?40,?41,?40,?4,?4,?4,?40,?41,?40,?4,?4,?3,right
?43,?96,?46,?4,?1,?19,?31,?66,?39,?5,?3,?21,?33,?50,?40,?7,?4,?18,?37,?40,?41,?7,?4,?15,?36,?33,?40,?5,?4,?11,?38,?20,?40,?5,?4,?6,?44,?20,?42,?4,?5,0,?47,?25,?42,?1,?3,4,?45,?31,?41,0,?3,7,?46,?40,?42,?1,?3,6,?42,?44,?40,?1,?3,6,?41,?45,?40,?2,?2,5,?38,?48,?39,?3,?2,4,?37,?48,?39,?3,?3,2,?38,?51,?40,?4,?4,0,?39,?50,?41,?3,?3,?3,?38,?48,?40,?4,?4,?5,?39,?48,?40,?4,?4,?8,?41,?44,?40,?4,?4,?9,?41,?39,?41,?4,?4,?9,right
?40,?35,?40,?1,?4,?6,?41,?36,?40,?3,?4,?5,?42,?36,?40,?4,?4,?5,?41,?38,?40,?3,?4,?4,?41,?38,?40,?3,?4,?4,?41,?39,?41,?4,?4,?4,?40,?40,?41,?3,?3,?3,?40,?41,?40,?3,?4,?3,?40,?40,?40,?4,?3,?3,?40,?41,?41,?3,?3,?3,?40,?52,?42,?3,?4,?5,?39,?55,?43,?4,?3,?8,?34,?53,?41,?5,?2,?15,?31,?44,?39,?9,?3,?17,?31,?30,?40,?9,?4,?14,?38,?14,?40,?6,?4,?9,?41,?11,?40,?4,?5,?2,?48,?14,?42,?3,?5,8,?51,?25,?44,3,?4,13,?49,?45,?42,3,?2,12,right
?34,?42,?38,?7,?4,1,?36,?50,?39,?1,?3,0,?37,?41,?40,?4,?4,1,?37,?48,?40,?2,?4,?1,?39,?48,?40,?3,?4,0,?40,?51,?40,?3,?4,?3,?40,?50,?41,?5,?4,?6,?42,?50,?41,?4,?4,?8,?42,?45,?40,?7,?4,?10,?42,?40,?40,?6,?4,?11,?42,?35,?40,?5,?3,?9,?42,?32,?40,?5,?3,?7,?41,?36,?40,?4,?4,?6,?42,?36,?41,?3,?3,?4,?40,?39,?40,?3,?4,?3,?41,?40,?40,?3,?3,?3,?41,?41,?41,?3,?4,?3,?40,?41,?40,?4,?3,?4,?40,?40,?40,?3,?4,?3,?41,?41,?41,?4,?4,?4,right
?30,?100,?41,?3,?5,?14,?34,?75,?41,?3,?5,?18,?31,?63,?41,?5,?4,?22,?32,?49,?42,?11,?3,?21,?33,?25,?42,?11,?4,?14,?40,?5,?42,?5,?4,?6,?45,?12,?43,?3,?4,2,?49,?15,?42,?2,?3,10,?48,?25,?40,4,?3,14,?47,?48,?40,5,?2,13,?41,?63,?38,0,?2,8,?37,?55,?38,?2,?2,4,?36,?54,?38,?2,?3,0,?38,?51,?40,?4,?4,?1,?40,?52,?40,?3,?4,?6,?41,?44,?41,?6,?4,?7,?40,?46,?40,?4,?4,?9,?42,?39,?41,?6,?4,?8,?42,?41,?41,?4,?4,?8,?42,?38,?41,?5,?3,?7,right
?39,?42,?40,?5,?4,?7,?39,?39,?40,?4,?4,?6,?40,?37,?40,?4,?4,?5,?40,?38,?40,?4,?4,?5,?40,?38,?41,?4,?4,?4,?40,?38,?40,?3,?4,?4,?41,?39,?41,?3,?3,?3,?41,?41,?41,?4,?3,?3,?40,?40,?40,?4,?3,?3,?41,?41,?40,?4,?4,?3,?39,?51,?40,?1,?4,?3,?38,?58,?42,?5,?4,?9,?33,?49,?40,?7,?3,?14,?32,?39,?39,?7,?4,?14,?35,?32,?41,?6,?4,?12,?40,?21,?42,?7,?4,?10,?42,?10,?40,?5,?4,?2,?48,?16,?42,0,?4,6,?50,?28,?44,1,?3,11,?45,?42,?41,2,?2,10,right
?29,?52,?35,?12,?5,6,?32,?49,?39,?5,?4,2,?34,?56,?39,?3,?4,1,?37,?52,?39,?4,?4,?1,?38,?56,?39,?5,?5,?5,?41,?52,?41,?3,?4,?7,?43,?48,?41,?6,?4,?9,?43,?42,?41,?6,?4,?11,?43,?39,?41,?6,?4,?11,?43,?33,?41,?5,?3,?8,?42,?33,?40,?5,?4,?7,?41,?36,?40,?3,?3,?5,?42,?36,?40,?4,?4,?4,?40,?39,?40,?3,?3,?3,?40,?40,?40,?3,?4,?3,?40,?40,?40,?3,?3,?3,?40,?41,?41,?4,?4,?3,?40,?40,?41,?3,?3,?3,?40,?41,?40,?4,?3,?3,?41,?41,?40,?3,?3,?3,right
?31,?100,?41,0,?5,?15,?32,?79,?41,?7,?3,?22,?30,?48,?40,?9,?4,?21,?33,?37,?40,?8,?4,?16,?38,?32,?41,?6,?4,?11,?42,?19,?41,?7,?4,?7,?45,?9,?41,?3,?4,2,?48,?22,?42,0,?3,8,?47,?35,?42,2,?2,11,?43,?45,?40,?1,?3,9,?40,?49,?39,0,?2,8,?38,?54,?39,0,?2,5,?36,?57,?38,?3,?3,0,?38,?49,?39,?3,?3,?3,?39,?45,?40,?3,?4,?3,?39,?46,?40,?4,?4,?5,?40,?46,?40,?5,?5,?7,?41,?39,?41,?4,?4,?5,?42,?44,?41,?5,?4,?7,?42,?41,?41,?4,?4,?8,right
?38,?48,?38,?9,?4,?8,?40,?38,?39,?5,?3,?7,?39,?38,?39,?5,?4,?6,?41,?38,?40,?4,?4,?5,?40,?38,?40,?4,?4,?5,?41,?37,?41,?3,?4,?4,?40,?40,?40,?4,?4,?3,?40,?40,?41,?3,?3,?3,?40,?41,?40,?3,?3,?3,?41,?41,?40,?4,?3,?4,?40,?53,?41,?3,?4,?6,?36,?54,?40,?5,?4,?11,?34,?47,?41,?6,?4,?14,?34,?40,?40,?7,?4,?15,?36,?33,?41,?7,?5,?13,?40,?15,?42,?7,?3,?8,?45,?9,?42,?3,?4,1,?50,?17,?43,0,?3,8,?49,?29,?42,1,?2,12,?45,?42,?40,2,?1,11,right
