@relation minmax_training

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {down,left,right,tilt_left,tilt_right,up}

@data
?41,?40,?42,?3,?3,?3,?41,?41,?42,?3,?3,?4,?41,?40,?41,?3,?3,?3,?40,?40,?40,?3,?3,?3,?41,?41,?40,?3,?3,?3,?40,?40,?40,?4,?3,?4,?40,?40,?40,?3,?3,?3,?40,?41,?40,?4,?4,?4,?41,?41,?41,?4,?4,?4,?40,?40,?41,?4,?4,?4,?45,?42,?52,?4,0,?4,?41,?41,?52,?2,4,?5,?32,?42,?45,?3,7,?5,?26,?37,?39,?4,6,?4,?25,?39,?35,?3,3,?4,?19,?39,?21,?4,?5,?2,?24,?38,?21,?4,?13,?2,?36,?39,?31,?3,?19,?2,?41,?43,?39,?3,?20,?2,?45,?42,?46,?4,?18,?3,down
?69,?41,?63,?5,?3,?3,?65,?42,?56,?2,1,?4,?63,?45,?53,?5,3,?4,?58,?41,?48,?4,5,?4,?54,?42,?44,?4,4,?4,?48,?41,?38,?4,6,?4,?42,?42,?33,?5,3,?4,?38,?38,?31,?3,1,?4,?38,?41,?33,?4,?2,?4,?39,?40,?37,?3,?3,?4,?39,?40,?38,?4,?4,?4,?41,?39,?41,?3,?4,?3,?41,?41,?41,?3,?4,?4,?40,?40,?41,?3,?4,?4,?40,?40,?41,?3,?3,?4,?41,?40,?40,?3,?3,?3,?40,?41,?40,?3,?3,?4,?40,?40,?41,?4,?4,?3,?40,?40,?40,?3,?3,?3,?41,?40,?40,?4,?3,?3,down
?60,?44,?92,?5,15,?8,?33,?40,?58,?2,11,?7,?35,?40,?51,?5,9,?4,?29,?39,?44,?4,8,?5,?25,?39,?37,?3,4,?4,?21,?38,?24,?3,?3,?2,?30,?41,?28,?4,?8,?2,?31,?40,?30,?3,?12,?3,?38,?40,?36,?3,?15,?3,?43,?40,?43,?4,?15,?3,?44,?41,?46,?3,?13,?4,?44,?39,?47,?2,?11,?4,?45,?41,?45,?3,?9,?3,?48,?41,?45,?3,?8,?3,?51,?43,?47,?3,?5,?4,?54,?42,?48,?4,?2,?3,?51,?42,?44,?4,1,?3,?51,?41,?43,?4,3,?3,?46,?41,?38,?4,3,?4,?43,?40,?35,?4,2,?3,down
?38,?39,?39,?5,?4,?4,?38,?38,?38,?4,?4,?4,?39,?39,?39,?4,?4,?4,?40,?39,?40,?4,?4,?4,?40,?39,?40,?4,?3,?4,?40,?40,?40,?3,?4,?3,?41,?41,?41,?4,?4,?3,?40,?40,?41,?4,?3,?3,?40,?40,?40,?4,?4,?3,?41,?41,?40,?4,?4,?4,?31,?40,?45,?3,7,?4,?22,?38,?39,?5,6,?3,?20,?39,?33,?3,2,?3,?23,?40,?33,?5,?2,?3,?25,?39,?35,?3,?5,?4,?36,?39,?33,?3,?18,?2,?43,?41,?42,?1,?19,?3,?47,?41,?49,?4,?16,?3,?46,?39,?50,0,?13,?4,?48,?41,?50,?4,?9,?3,down
?72,?44,?56,0,5,?5,?60,?46,?49,?4,5,?5,?54,?42,?44,?4,6,?4,?51,?41,?41,?4,6,?4,?48,?42,?38,?4,4,?4,?40,?41,?33,?5,3,?4,?38,?39,?32,?4,1,?3,?38,?40,?34,?4,?2,?4,?38,?40,?36,?4,?3,?4,?40,?40,?39,?4,?4,?4,?41,?40,?41,?3,?4,?4,?41,?40,?41,?4,?4,?4,?40,?40,?40,?3,?3,?3,?41,?41,?40,?3,?3,?4,?41,?40,?41,?3,?3,?3,?40,?41,?40,?4,?4,?3,?40,?40,?40,?3,?3,?4,?41,?40,?41,?4,?3,?3,?40,?41,?40,?4,?4,?4,?40,?40,?40,?4,?4,?4,down
?63,?43,?91,?11,12,?2,?52,?43,?79,?4,17,?5,?35,?38,?64,?2,21,?5,?15,?41,?44,0,15,?6,?15,?39,?35,?6,6,?3,?14,?38,?23,?1,?3,?4,?18,?39,?19,?4,?12,?3,?28,?41,?24,?4,?21,?3,?44,?38,?37,?6,?24,?2,?50,?40,?47,0,?20,?4,?49,?41,?50,?4,?16,?3,?49,?40,?50,?2,?12,?4,?52,?41,?50,?3,?8,?3,?56,?43,?49,?3,?4,?4,?59,?43,?47,?5,1,?3,?55,?42,?43,?3,4,?4,?52,?42,?39,?5,5,?3,?45,?42,?35,?4,5,?4,?41,?40,?33,?5,3,?3,?38,?40,?32,?3,0,?4,down
?40,?40,?40,?3,?4,?3,?41,?41,?42,?4,?4,?3,?41,?40,?42,?4,?3,?3,?40,?40,?41,?4,?3,?3,?40,?40,?41,?4,?3,?3,?40,?40,?41,?4,?3,?4,?40,?40,?40,?4,?3,?3,?40,?41,?40,?3,?4,?4,?40,?40,?40,?4,?4,?4,?40,?40,?40,?3,?4,?4,?29,?38,?41,?4,4,?4,?27,?40,?39,?3,3,?4,?28,?39,?38,?5,1,?3,?25,?39,?35,?2,?2,?4,?26,?40,?35,?4,?5,?3,?38,?42,?36,?2,?16,?3,?41,?40,?41,?4,?16,?3,?42,?41,?43,?1,?15,?4,?47,?41,?47,?4,?12,?3,?49,?40,?49,?2,?9,?3,down
?60,?39,?47,7,5,?8,?51,?46,?41,?2,1,?4,?54,?42,?42,?4,3,?4,?51,?43,?41,?4,2,?4,?50,?42,?40,?4,3,?3,?47,?43,?38,?6,2,?3,?45,?40,?37,?5,2,?4,?40,?41,?35,?4,1,?4,?40,?39,?36,?4,0,?4,?39,?40,?36,?3,?2,?4,?38,?39,?37,?3,?3,?4,?40,?40,?40,?3,?4,?4,?40,?40,?41,?3,?4,?4,?40,?41,?41,?3,?3,?4,?40,?40,?41,?3,?4,?4,?40,?40,?41,?4,?3,?3,?40,?40,?40,?3,?4,?4,?40,?40,?40,?4,?4,?3,?40,?40,?41,?4,?4,?4,?40,?41,?40,?4,?4,?4,down
?60,?40,?95,?6,11,?7,?36,?36,?63,0,14,?6,?35,?40,?52,?4,11,?4,?30,?41,?46,?3,10,?4,?22,?40,?37,?3,6,?4,?17,?39,?20,?4,?1,?2,?25,?42,?22,?5,?9,?2,?30,?40,?28,?4,?15,?3,?35,?39,?32,?3,?18,?3,?45,?40,?43,?4,?19,?3,?47,?41,?50,?3,?15,?4,?49,?38,?52,?3,?12,?4,?49,?40,?50,?2,?8,?3,?52,?42,?48,?4,?5,?3,?53,?42,?47,?3,?2,?3,?54,?41,?46,?3,1,?3,?50,?43,?42,?4,2,?3,?48,?42,?39,?5,3,?4,?43,?41,?36,?4,2,?4,?41,?40,?34,?4,1,?4,down
?41,?38,?42,?2,?4,?4,?40,?40,?41,?3,?4,?4,?41,?39,?42,?3,?4,?4,?40,?39,?41,?3,?4,?4,?41,?40,?41,?3,?3,?4,?40,?40,?41,?4,?4,?3,?40,?40,?40,?3,?3,?3,?40,?41,?40,?3,?3,?3,?40,?40,?40,?3,?3,?3,?40,?40,?40,?4,?4,?4,?28,?38,?42,?2,6,?4,?25,?41,?39,?4,4,?3,?24,?40,?37,?4,2,?3,?23,?40,?35,?4,?2,?3,?25,?40,?35,?4,?5,?4,?38,?42,?36,?4,?17,?3,?41,?39,?41,?4,?17,?4,?44,?39,?45,?3,?15,?4,?47,?40,?47,?3,?13,?3,?48,?39,?49,?2,?9,?3,down
