AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
1,-14,-3,-36,40,31,5,8,-1,-2,-2,-22,9,-10,8,-30,16,25,-2,5,-2,54,-38,-70,-8,4,-4,-27,31,45,6,-3,3,2,4,-28,-2,2,-2,-16,-17,13,4,5,1,32,20,-12,-1,-8,1,-20,-26,25,0,2,0,40,6,-42,46,148,-6,651,404,780,30,-33,6,17,-417,1162,-3,-73,-6,318,-13,488,-12,-10,-30,123,-117,236,-3,-89,-27,70,266,536,28,-142,25,-63,-216,-930,-24,-45,18,-948,267,-1154,14,-8,12,140,-82,-1351,-10,54,-9,-923,-127,-866,-13,110,0,-66,69,-414,left
2,31,8,-116,-174,64,-11,14,-3,-28,-20,-161,3,50,3,105,-59,58,-20,-5,-2,44,43,117,-18,19,-12,46,90,159,14,33,11,69,11,241,-11,24,3,32,32,346,1,-30,7,156,-28,310,-10,16,-2,75,3,90,2,-13,3,141,4,181,-9,-13,1,129,18,11,-1,-16,0,-38,13,122,-3,0,-2,70,13,-9,3,-8,1,23,22,35,3,-5,-1,-16,12,-30,4,-2,1,-66,-16,6,0,6,-2,52,-3,-19,-3,0,-1,-9,18,-1,4,2,4,-12,9,21,1,-6,0,-22,-50,-15,left
7,160,-7,637,102,276,15,40,-15,187,147,1394,52,-22,-9,633,-150,1202,22,-182,-25,561,-135,981,-23,-322,11,-837,-423,-1230,-13,67,7,-674,529,-1512,5,-25,5,-371,72,-1372,-31,88,-1,-888,35,-685,1,112,25,128,99,-383,1,32,12,-272,-309,51,-13,28,-5,242,-57,-132,0,34,2,58,-81,293,-15,-7,-6,157,3,44,5,15,2,26,-7,50,-11,-6,-12,104,66,100,7,9,6,-284,-13,49,-15,39,3,245,91,339,-6,-24,10,40,-33,217,-6,12,-2,248,98,55,3,-24,1,89,9,250,left
-4,-4,-3,164,5,-38,11,-24,0,-234,-27,105,-1,6,0,109,15,-54,4,-6,-1,-73,-13,48,-7,3,-1,56,39,-70,9,1,6,-64,-40,6,-2,1,-1,8,-11,8,-6,9,-7,66,33,2,7,-10,4,-41,-2,46,-3,-2,0,26,-20,-51,5,166,-16,454,296,46,42,30,0,932,3,1425,48,-102,16,-107,-380,1568,-21,-139,-28,32,-333,5,-2,-122,-13,-342,208,-580,9,-118,-1,-142,-3,-832,-20,-23,-3,-643,143,-1571,-17,81,-3,-762,220,-1104,9,113,30,-466,14,-512,-16,88,17,384,-4,98,left
-5,-13,2,-21,-161,92,-13,38,-5,10,-58,9,10,17,14,338,-53,159,-22,-10,-11,-133,-45,312,-6,9,-4,133,48,-61,-1,-17,-3,-70,95,271,9,45,4,76,-36,56,-1,-3,8,40,8,545,-10,-14,-3,268,16,-20,-3,-27,-1,-68,-2,138,-7,-9,-4,84,42,-39,5,0,3,-81,20,14,11,7,4,109,-8,22,-3,-11,-2,8,-26,-13,0,0,0,-111,-13,-11,1,8,1,61,9,-18,-1,-1,0,4,-6,-10,0,3,-1,-25,-10,32,-4,1,-1,13,17,-3,5,-6,2,10,-19,0,left
51,295,21,1168,33,1023,7,-120,-14,196,66,2433,14,-163,-33,-323,-414,267,-10,-121,-61,414,125,-787,33,-188,6,-497,244,-1144,-25,30,17,-1101,80,-1841,3,71,29,-331,268,-778,-7,105,33,-347,-343,-524,-30,54,2,86,-42,-11,-9,0,6,-18,-87,-85,-9,33,-5,306,-72,194,-14,33,-8,198,109,209,7,-16,6,-254,-100,196,-6,22,1,199,-14,230,-11,-24,-4,-84,11,93,-3,25,4,254,75,166,-7,-12,0,-110,-21,174,-4,-1,0,179,60,75,4,-13,-1,-4,11,55,-2,-3,-2,108,32,46,left
3,-12,1,-48,9,-8,3,7,0,19,3,-31,2,-3,2,-71,-25,42,-4,3,-1,105,31,-75,6,-3,2,-115,-32,107,-7,7,-2,136,36,-49,6,-11,2,-142,-42,60,-3,5,-1,126,33,-85,0,-2,-2,-98,-34,72,2,-1,0,84,33,-38,8,157,28,1,36,-57,9,66,-16,1197,92,1374,65,-37,-21,109,17,2285,1,-191,-43,152,-61,602,11,-177,-18,-311,-178,-1431,6,-79,-3,-618,133,-1434,-2,11,12,-423,172,-1578,-8,54,20,-853,-88,-667,-9,81,27,-135,-250,-636,-19,49,0,-172,-87,-177,left
-9,24,15,372,105,-33,0,36,16,27,-57,-216,-19,46,-7,206,-23,235,-14,-20,-8,-58,87,82,-6,10,-8,256,39,-119,-7,26,-1,152,141,538,3,-2,10,-197,-101,682,-15,-23,0,-11,-60,554,-7,-9,-2,322,60,-91,6,-18,3,-181,-35,245,-1,-20,-2,92,50,-93,6,2,0,-66,-10,-40,1,12,-1,96,26,-8,-1,-10,0,-16,-15,50,0,-2,2,-21,-7,-78,0,4,-1,-22,-23,-19,0,7,-1,-14,11,53,-1,0,1,64,34,-28,2,3,0,2,-19,15,3,-8,2,-6,-9,3,left
8,396,-31,1132,102,455,86,-216,24,-254,433,3910,42,-186,-27,1153,-741,-59,-8,-199,-14,-553,-36,-1187,-21,-57,1,-1166,-9,-1563,-4,28,7,213,398,-1342,-21,4,-4,-894,-249,-962,-35,91,4,-220,153,-974,17,53,29,-79,-5,-564,-11,29,-2,-200,-145,15,-24,73,-3,404,29,-301,-5,37,7,-316,7,922,-33,-18,-7,396,103,330,25,-24,19,-498,-27,173,-24,57,-13,514,-68,171,7,9,15,-489,46,699,-24,7,-4,1025,66,174,11,-66,3,-246,-70,201,-4,1,-5,145,49,-176,11,-6,5,-152,-45,111,left
-8,7,-8,131,13,-141,3,-10,-1,-70,63,171,8,6,10,72,-72,-136,-12,2,-8,-101,-23,117,4,2,2,139,76,-62,10,-8,4,-91,-64,49,-8,1,-5,75,4,-60,-3,1,0,-77,15,41,2,6,1,50,4,-29,-1,-4,-4,-56,5,42,5,163,11,394,69,-77,42,87,2,415,-157,1687,39,-9,-29,455,371,3043,62,-241,-36,929,-462,386,16,-239,-3,-616,-429,-1272,-39,-6,-27,-860,645,-2083,16,-25,48,-469,240,-1527,-20,57,7,-605,-245,-973,-45,83,12,-142,67,-754,-20,34,8,-61,-122,-194,left
-18,43,-4,18,-49,-69,6,-8,19,65,81,-19,2,31,-7,-84,-220,-1,-22,-5,-3,-49,-61,66,-25,46,-11,100,73,194,-12,16,13,273,199,136,-12,-7,3,-315,-30,768,4,9,6,554,22,44,1,-24,-2,-378,-36,472,-12,23,-3,437,87,-110,11,-38,2,-150,-7,343,3,1,7,196,-5,-175,7,-10,-1,-188,-60,188,-8,4,-8,185,29,-154,8,-7,3,-196,-32,98,-7,13,-5,138,47,-97,3,-3,4,-30,-5,65,3,-1,3,45,-27,-84,-5,2,-4,-95,-7,128,-1,-1,-4,110,34,-77,left
40,310,16,740,204,848,49,-34,-19,293,-25,2623,77,-252,-37,978,-689,1500,-32,-311,-9,-859,-373,-1735,-28,11,-22,-483,1018,-1565,-4,51,40,-867,31,-1341,-42,97,-3,47,181,-747,8,11,37,-55,-53,-652,-9,37,3,-597,-380,161,-25,11,-15,439,44,-254,18,3,5,-64,-37,-112,-10,3,-4,-74,14,-289,3,24,5,-83,76,-274,-9,33,1,-194,-114,187,-30,9,-9,231,90,75,15,48,10,140,274,-125,12,-40,18,-108,-382,628,-37,41,-23,42,60,658,16,-42,15,421,41,-41,-10,21,-5,-341,-26,303,left
-1,-24,1,287,38,-8,-3,26,-2,-70,-22,117,1,-18,2,97,53,86,4,7,2,72,-22,-48,-1,-19,-1,-118,-27,107,-2,10,-6,169,50,-108,9,-10,4,-161,-3,105,1,5,2,109,-4,-91,-2,-2,-1,-85,-28,31,0,9,0,134,14,-50,
